Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Unfollows,Replies,Reposts,Profile visits,Create Post,Video views,Media views
"Tue, Sep 15, 2026",449,23,33,0,0,1,0,5,0,5,2,0,0
"Mon, Sep 14, 2026",1453,53,75,0,0,17,1,15,1,6,3,0,0
"Sun, Sep 13, 2026",1121,27,46,1,0,0,7,5,1,12,2,0,0
"Sat, Sep 12, 2026",996,34,52,3,1,6,2,6,1,7,2,0,0
"Fri, Sep 11, 2026",1939,63,111,2,0,18,2,20,1,25,3,0,0
"Thu, Sep 10, 2026",2144,72,124,6,0,38,4,22,2,22,2,0,0
"Wed, Sep 9, 2026",2156,57,97,3,1,29,1,17,1,18,2,0,0
"Tue, Sep 8, 2026",2784,50,90,4,0,36,1,21,1,14,4,0,0
"Mon, Sep 7, 2026",3182,75,127,3,0,31,0,15,1,33,2,0,0
"Sun, Sep 6, 2026",3583,40,77,18,1,16,0,6,2,10,2,0,0
"Sat, Sep 5, 2026",8826,39,81,0,0,14,0,16,2,24,2,0,0
"Fri, Sep 4, 2026",5336,66,101,0,0,14,0,13,1,21,4,0,0
"Thu, Sep 3, 2026",4823,44,67,0,0,0,1,9,1,13,3,0,0
"Wed, Sep 2, 2026",3921,48,82,1,0,2,1,11,3,19,5,0,0
