Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2099810979521429893,"Tue, Sep 15, 2026",@bechemtheghost1 good article bruh,https://x.com/MauroJPelle/status/2099810979521429893,1,0,0,0,0,0,0,0,0,0,0,0,0
2099809569249648792,"Tue, Sep 15, 2026","@theslowtell holds on inbound mostly, member activity dips a bit without a fresh prompt in the queue",https://x.com/MauroJPelle/status/2099809569249648792,10,1,4,0,0,0,1,0,0,2,0,0,0
2099800511507571023,"Tue, Sep 15, 2026","When i save an x article for reference i screenshot it from the feed, not from inside the article. The card is what gets judged: - The title. - The cover. - The first two lines of the body. Open the article and you lose the part that earned the click.",https://x.com/MauroJPelle/status/2099800511507571023,16,3,3,0,0,0,0,0,0,0,0,0,0
2099790922108055956,"Tue, Sep 15, 2026","@GrammarHippy our best conversions still come off calls, automation fills the top but never closes the deal",https://x.com/MauroJPelle/status/2099790922108055956,33,0,1,0,0,0,0,0,1,0,0,0,0
2099790793338683710,"Tue, Sep 15, 2026","@theandreilucian rewrote mine to lead with what i actually run instead of a title, follows went up almost immediately",https://x.com/MauroJPelle/status/2099790793338683710,1,0,0,0,0,0,0,0,0,0,0,0,0
2099785802095923257,"Tue, Sep 15, 2026",@HenriBranding cut our services page down to one offer and stopped losing deals to indecision,https://x.com/MauroJPelle/status/2099785802095923257,5,1,3,0,0,0,1,0,0,1,0,0,0
2099785620780466393,"Tue, Sep 15, 2026","@tirimisyjr we log every objection right after the call into one doc, half our posts come straight out of it",https://x.com/MauroJPelle/status/2099785620780466393,10,1,4,0,0,0,1,0,2,0,0,0,0
2099785497530741052,"Tue, Sep 15, 2026","@cbwritescopy had a lead come back almost 3 years later off a single piece of content, the nurture cycle on this stuff is way longer than people think",https://x.com/MauroJPelle/status/2099785497530741052,8,1,1,0,0,0,0,0,0,0,0,0,0
2099785166235251025,"Tue, Sep 15, 2026","@revenumaxxing caught myself doing this exact thing early on, turned every maybe into a yes because i needed the cash",https://x.com/MauroJPelle/status/2099785166235251025,4,0,0,0,0,0,0,0,0,0,0,0,0
2099785134308229630,"Tue, Sep 15, 2026","@VelariCapital we front load content instead of calls, same principle though, pipeline before admin every time",https://x.com/MauroJPelle/status/2099785134308229630,0,0,0,0,0,0,0,0,0,0,0,0,0
2099784980008202672,"Tue, Sep 15, 2026",@ItsMeBenChan added one CTA a week instead of occasional and pipeline from content actually became predictable,https://x.com/MauroJPelle/status/2099784980008202672,3,0,0,0,0,0,0,0,0,0,0,0,0
2099784937997996170,"Tue, Sep 15, 2026","@quintenxjohnson same note i give every client, the second it sounds like a pitch the whole video stops working",https://x.com/MauroJPelle/status/2099784937997996170,1,0,0,0,0,0,0,0,0,0,0,0,0
